
Recapitulatif de mes puissances atteintes en W

Date et heure de releve par le distributeur;Puissance atteinte (W);Nature de la donnee

12/05/2022;;
00:00:00;50;Reelle
23:30:00;50;Reelle
23:00:00;52;Reelle
22:30:00;50;Reelle
22:00:00;52;Reelle
21:30:00;46;Reelle
21:00:00;40;Reelle
20:30:00;40;Reelle
20:00:00;10;Reelle
19:30:00;2;Reelle
19:00:00;0;Reelle
18:30:00;0;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:00:00;0;Reelle
14:30:00;0;Reelle
14:00:00;0;Reelle
13:30:00;0;Reelle
13:00:00;72;Reelle
12:30:00;88;Reelle
12:00:00;678;Reelle
11:30:00;708;Reelle
11:00:00;338;Reelle
10:30:00;376;Reelle
10:00:00;404;Reelle
09:30:00;388;Reelle
09:00:00;410;Reelle
08:30:00;724;Reelle
08:00:00;850;Reelle
07:30:00;730;Reelle
07:00:00;428;Reelle
06:30:00;364;Reelle
06:00:00;400;Reelle
05:30:00;358;Reelle
05:00:00;344;Reelle
04:30:00;362;Reelle
04:00:00;528;Reelle
03:30:00;1648;Reelle
03:00:00;2366;Reelle
02:30:00;1144;Reelle
02:00:00;1156;Reelle
01:30:00;432;Reelle
01:00:00;52;Reelle
00:30:00;52;Reelle

11/05/2022;;
00:00:00;50;Reelle
23:30:00;50;Reelle
23:00:00;52;Reelle
22:30:00;50;Reelle
22:00:00;52;Reelle
21:30:00;50;Reelle
21:00:00;46;Reelle
20:30:00;50;Reelle
20:00:00;40;Reelle
19:30:00;2;Reelle
19:00:00;0;Reelle
18:30:00;0;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:00:00;0;Reelle
14:30:00;0;Reelle
14:00:00;2;Reelle
13:30:00;0;Reelle
13:00:00;0;Reelle
12:30:00;0;Reelle
12:00:00;94;Reelle
11:30:00;332;Reelle
11:00:00;348;Reelle
10:30:00;406;Reelle
10:00:00;422;Reelle
09:30:00;436;Reelle
09:00:00;486;Reelle
08:30:00;686;Reelle
08:00:00;772;Reelle
07:30:00;826;Reelle
07:00:00;432;Reelle
06:30:00;352;Reelle
06:00:00;378;Reelle
05:30:00;358;Reelle
05:00:00;348;Reelle
04:30:00;358;Reelle
04:00:00;1152;Reelle
03:30:00;1640;Reelle
03:00:00;1642;Reelle
02:30:00;1072;Reelle
02:00:00;362;Reelle
01:30:00;346;Reelle
01:00:00;364;Reelle
00:30:00;348;Reelle

10/05/2022;;
00:00:00;400;Reelle
23:30:00;454;Reelle
23:00:00;462;Reelle
22:30:00;50;Reelle
22:00:00;52;Reelle
21:30:00;52;Reelle
21:00:00;40;Reelle
20:30:00;40;Reelle
20:00:00;40;Reelle
19:30:00;98;Reelle
19:00:00;1482;Reelle
18:30:00;0;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:00:00;0;Reelle
14:30:00;452;Reelle
14:00:00;982;Reelle
13:30:00;676;Reelle
13:00:00;706;Reelle
12:30:00;364;Reelle
12:00:00;594;Reelle
11:30:00;554;Reelle
11:00:00;400;Reelle
10:30:00;426;Reelle
10:00:00;428;Reelle
09:30:00;430;Reelle
09:00:00;472;Reelle
08:30:00;666;Reelle
08:00:00;820;Reelle
07:30:00;708;Reelle
07:00:00;426;Reelle
06:30:00;370;Reelle
06:00:00;380;Reelle
05:30:00;354;Reelle
05:00:00;356;Reelle
04:30:00;358;Reelle
04:00:00;1012;Reelle
03:30:00;1608;Reelle
03:00:00;1638;Reelle
02:30:00;944;Reelle
02:00:00;52;Reelle
01:30:00;52;Reelle
01:00:00;50;Reelle
00:30:00;52;Reelle

09/05/2022;;
00:00:00;52;Reelle
23:30:00;50;Reelle
23:00:00;50;Reelle
22:30:00;52;Reelle
22:00:00;52;Reelle
21:30:00;48;Reelle
21:00:00;40;Reelle
20:30:00;36;Reelle
20:00:00;0;Reelle
19:30:00;94;Reelle
19:00:00;348;Reelle
18:30:00;164;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:00:00;0;Reelle
14:30:00;0;Reelle
14:00:00;0;Reelle
13:30:00;2;Reelle
13:00:00;0;Reelle
12:30:00;246;Reelle
12:00:00;314;Reelle
11:30:00;324;Reelle
11:00:00;376;Reelle
10:30:00;406;Reelle
10:00:00;392;Reelle
09:30:00;378;Reelle
09:00:00;420;Reelle
08:30:00;670;Reelle
08:00:00;944;Reelle
07:30:00;710;Reelle
07:00:00;428;Reelle
06:30:00;340;Reelle
06:00:00;384;Reelle
05:30:00;332;Reelle
05:00:00;334;Reelle
04:30:00;412;Reelle
04:00:00;1610;Reelle
03:30:00;1624;Reelle
03:00:00;1618;Reelle
02:30:00;910;Reelle
02:00:00;52;Reelle
01:30:00;50;Reelle
01:00:00;52;Reelle
00:30:00;52;Reelle

08/05/2022;;
00:00:00;50;Reelle
23:30:00;52;Reelle
23:00:00;52;Reelle
22:30:00;50;Reelle
22:00:00;52;Reelle
21:30:00;46;Reelle
21:00:00;40;Reelle
20:30:00;44;Reelle
20:00:00;2;Reelle
19:30:00;0;Reelle
19:00:00;0;Reelle
18:30:00;0;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:00:00;0;Reelle
14:30:00;0;Reelle
14:00:00;0;Reelle
13:30:00;0;Reelle
13:00:00;622;Reelle
12:30:00;134;Reelle
12:00:00;396;Reelle
11:30:00;1214;Reelle
11:00:00;2596;Reelle
10:30:00;468;Reelle
10:00:00;496;Reelle
09:30:00;586;Reelle
09:00:00;558;Reelle
08:30:00;652;Reelle
08:00:00;460;Reelle
07:30:00;390;Reelle
07:00:00;390;Reelle
06:30:00;356;Reelle
06:00:00;372;Reelle
05:30:00;350;Reelle
05:00:00;520;Reelle
04:30:00;1626;Reelle
04:00:00;1612;Reelle
03:30:00;1618;Reelle
03:00:00;1612;Reelle
02:30:00;176;Reelle
02:00:00;52;Reelle
01:30:00;50;Reelle
01:00:00;50;Reelle
00:30:00;52;Reelle

07/05/2022;;
00:00:00;50;Reelle
23:30:00;50;Reelle
23:00:00;52;Reelle
22:30:00;178;Reelle
22:00:00;2360;Reelle
21:30:00;986;Reelle
21:00:00;40;Reelle
20:30:00;38;Reelle
20:00:00;0;Reelle
19:30:00;0;Reelle
19:00:00;0;Reelle
18:30:00;0;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;14;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:00:00;68;Reelle
14:30:00;424;Reelle
14:00:00;488;Reelle
13:30:00;382;Reelle
13:00:00;1536;Reelle
12:30:00;1642;Reelle
12:00:00;814;Reelle
11:30:00;350;Reelle
11:00:00;324;Reelle
10:30:00;460;Reelle
10:00:00;432;Reelle
09:30:00;510;Reelle
09:00:00;618;Reelle
08:30:00;646;Reelle
08:00:00;430;Reelle
07:30:00;450;Reelle
07:00:00;432;Reelle
06:30:00;378;Reelle
06:00:00;358;Reelle
05:30:00;340;Reelle
05:00:00;342;Reelle
04:30:00;350;Reelle
04:00:00;336;Reelle
03:30:00;1390;Reelle
03:00:00;1190;Reelle
02:30:00;52;Reelle
02:00:00;50;Reelle
01:30:00;50;Reelle
01:00:00;52;Reelle
00:30:00;50;Reelle

06/05/2022;;
00:00:00;50;Reelle
23:30:00;52;Reelle
23:00:00;50;Reelle
22:30:00;50;Reelle
22:00:00;52;Reelle
21:30:00;52;Reelle
21:00:00;40;Reelle
20:30:00;40;Reelle
20:00:00;2;Reelle
19:30:00;0;Reelle
19:00:00;0;Reelle
18:30:00;0;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;2;Reelle
16:00:00;32;Reelle
15:30:00;0;Reelle
15:00:00;132;Reelle
14:30:00;1986;Reelle
14:00:00;546;Reelle
13:30:00;2;Reelle
13:00:00;0;Reelle
12:30:00;0;Reelle
12:00:00;186;Reelle
11:30:00;332;Reelle
11:00:00;416;Reelle
10:30:00;402;Reelle
10:00:00;392;Reelle
09:30:00;378;Reelle
09:00:00;502;Reelle
08:30:00;656;Reelle
08:00:00;1078;Reelle
07:30:00;1122;Reelle
07:00:00;480;Reelle
06:30:00;356;Reelle
06:00:00;370;Reelle
05:30:00;360;Reelle
05:00:00;370;Reelle
04:30:00;350;Reelle
04:00:00;1236;Reelle
03:30:00;1610;Reelle
03:00:00;1632;Reelle
02:30:00;1072;Reelle
02:00:00;368;Reelle
01:30:00;344;Reelle
01:00:00;354;Reelle
00:30:00;356;Reelle

05/05/2022;;
00:00:00;442;Reelle
23:30:00;468;Reelle
23:00:00;704;Reelle
22:30:00;876;Reelle
22:00:00;412;Reelle
21:30:00;52;Reelle
21:00:00;46;Reelle
20:30:00;30;Reelle
20:00:00;6;Reelle
19:30:00;280;Reelle
19:00:00;0;Reelle
18:30:00;0;Reelle
18:00:00;2;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
15:30:00;2;Reelle
15:00:00;314;Reelle
14:30:00;202;Reelle
14:00:00;838;Reelle
13:30:00;1520;Reelle
13:00:00;1546;Reelle
12:30:00;974;Reelle
12:00:00;2614;Reelle
11:30:00;398;Reelle
11:00:00;388;Reelle
10:30:00;382;Reelle
10:00:00;426;Reelle
09:30:00;508;Reelle
09:00:00;498;Reelle
08:30:00;742;Reelle
08:00:00;1014;Reelle
07:30:00;1174;Reelle
07:00:00;446;Reelle
06:30:00;416;Reelle
06:00:00;396;Reelle
05:30:00;346;Reelle
05:00:00;360;Reelle
04:30:00;372;Reelle
