
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée

24/03/2022;;
00:00:00;146;Réelle
23:30:00;178;Réelle
23:00:00;206;Réelle
22:30:00;260;Réelle
22:00:00;226;Réelle
21:30:00;304;Réelle
21:00:00;222;Réelle
20:30:00;232;Réelle
20:00:00;290;Réelle
19:30:00;266;Réelle
19:00:00;406;Réelle
18:30:00;124;Réelle
18:00:00;84;Réelle
17:30:00;132;Réelle
17:00:00;122;Réelle
16:30:00;136;Réelle
16:00:00;154;Réelle
15:30:00;162;Réelle
15:00:00;186;Réelle
14:30:00;170;Réelle
14:00:00;132;Réelle
13:30:00;150;Réelle
13:00:00;274;Réelle
12:30:00;1062;Réelle
12:00:00;234;Réelle
11:30:00;268;Réelle
11:00:00;438;Réelle
10:30:00;526;Réelle
10:00:00;498;Réelle
09:30:00;460;Réelle
09:00:00;562;Réelle
08:30:00;718;Réelle
08:00:00;1220;Réelle
07:30:00;1142;Réelle
07:00:00;630;Réelle
06:30:00;548;Réelle
06:00:00;340;Réelle
05:30:00;382;Réelle
05:00:00;348;Réelle
04:30:00;374;Réelle
04:00:00;434;Réelle
03:30:00;1140;Réelle
03:00:00;762;Réelle
02:30:00;2466;Réelle
02:00:00;2020;Réelle
01:30:00;1614;Réelle
01:00:00;798;Réelle
00:30:00;494;Réelle

23/03/2022;;
00:00:00;534;Réelle
23:30:00;614;Réelle
23:00:00;466;Réelle
22:30:00;288;Réelle
22:00:00;282;Réelle
21:30:00;270;Réelle
21:00:00;378;Réelle
20:30:00;280;Réelle
20:00:00;390;Réelle
19:30:00;1114;Réelle
19:00:00;344;Réelle
18:30:00;198;Réelle
18:00:00;182;Réelle
17:30:00;142;Réelle
17:00:00;142;Réelle
16:30:00;154;Réelle
16:00:00;160;Réelle
15:30:00;298;Réelle
15:00:00;242;Réelle
14:30:00;128;Réelle
14:00:00;116;Réelle
13:30:00;128;Réelle
13:00:00;110;Réelle
12:30:00;132;Réelle
12:00:00;126;Réelle
11:30:00;138;Réelle
11:00:00;298;Réelle
10:30:00;528;Réelle
10:00:00;558;Réelle
09:30:00;534;Réelle
09:00:00;634;Réelle
08:30:00;704;Réelle
08:00:00;754;Réelle
07:30:00;1112;Réelle
07:00:00;606;Réelle
06:30:00;550;Réelle
06:00:00;370;Réelle
05:30:00;332;Réelle
05:00:00;364;Réelle
04:30:00;350;Réelle
04:00:00;348;Réelle
03:30:00;370;Réelle
03:00:00;1140;Réelle
02:30:00;1622;Réelle
02:00:00;1594;Réelle
01:30:00;1604;Réelle
01:00:00;790;Réelle
00:30:00;342;Réelle

22/03/2022;;
00:00:00;478;Réelle
23:30:00;550;Réelle
23:00:00;672;Réelle
22:30:00;674;Réelle
22:00:00;284;Réelle
21:30:00;274;Réelle
21:00:00;280;Réelle
20:30:00;208;Réelle
20:00:00;222;Réelle
19:30:00;252;Réelle
19:00:00;1904;Réelle
18:30:00;656;Réelle
18:00:00;152;Réelle
17:30:00;152;Réelle
17:00:00;146;Réelle
16:30:00;148;Réelle
16:00:00;126;Réelle
15:30:00;134;Réelle
15:00:00;96;Réelle
14:30:00;116;Réelle
14:00:00;172;Réelle
13:30:00;160;Réelle
13:00:00;174;Réelle
12:30:00;128;Réelle
12:00:00;120;Réelle
11:30:00;104;Réelle
11:00:00;132;Réelle
10:30:00;362;Réelle
10:00:00;390;Réelle
09:30:00;450;Réelle
09:00:00;532;Réelle
08:30:00;588;Réelle
08:00:00;1244;Réelle
07:30:00;1372;Réelle
07:00:00;612;Réelle
06:30:00;688;Réelle
06:00:00;332;Réelle
05:30:00;376;Réelle
05:00:00;342;Réelle
04:30:00;358;Réelle
04:00:00;370;Réelle
03:30:00;1156;Réelle
03:00:00;1072;Réelle
02:30:00;1972;Réelle
02:00:00;2608;Réelle
01:30:00;1592;Réelle
01:00:00;760;Réelle
00:30:00;380;Réelle

21/03/2022;;
00:00:00;486;Réelle
00:00:00;486;Réelle
23:30:00;530;Réelle
23:30:00;530;Réelle
23:00:00;746;Réelle
23:00:00;746;Réelle
22:30:00;1066;Réelle
22:30:00;1066;Réelle
22:00:00;252;Réelle
22:00:00;252;Réelle
21:30:00;302;Réelle
21:30:00;302;Réelle
21:00:00;240;Réelle
21:00:00;240;Réelle
20:30:00;230;Réelle
20:30:00;230;Réelle
20:00:00;250;Réelle
20:00:00;250;Réelle
19:30:00;240;Réelle
19:30:00;240;Réelle
19:00:00;1066;Réelle
19:00:00;1066;Réelle
18:30:00;180;Réelle
18:30:00;180;Réelle
18:00:00;184;Réelle
18:00:00;184;Réelle
17:30:00;284;Réelle
17:30:00;284;Réelle
17:00:00;182;Réelle
17:00:00;182;Réelle
16:30:00;110;Réelle
16:30:00;110;Réelle
16:00:00;130;Réelle
16:00:00;130;Réelle
15:30:00;136;Réelle
15:30:00;136;Réelle
15:00:00;126;Réelle
15:00:00;126;Réelle
14:30:00;178;Réelle
14:30:00;178;Réelle
14:00:00;100;Réelle
14:00:00;100;Réelle
13:30:00;84;Réelle
13:30:00;84;Réelle
13:00:00;102;Réelle
13:00:00;102;Réelle
12:30:00;724;Réelle
12:30:00;724;Réelle
12:00:00;574;Réelle
12:00:00;574;Réelle
11:30:00;92;Réelle
11:30:00;92;Réelle
11:00:00;82;Réelle
11:00:00;82;Réelle
10:30:00;214;Réelle
10:30:00;214;Réelle
10:00:00;578;Réelle
10:00:00;578;Réelle
09:30:00;444;Réelle
09:30:00;444;Réelle
09:00:00;474;Réelle
09:00:00;474;Réelle
08:30:00;640;Réelle
08:30:00;640;Réelle
08:00:00;1542;Réelle
08:00:00;1542;Réelle
07:30:00;1800;Réelle
07:30:00;1800;Réelle
07:00:00;796;Réelle
07:00:00;796;Réelle
06:30:00;1092;Réelle
06:30:00;1092;Réelle
06:00:00;444;Réelle
06:00:00;444;Réelle
05:30:00;386;Réelle
05:30:00;386;Réelle
05:00:00;406;Réelle
05:00:00;406;Réelle
04:30:00;370;Réelle
04:30:00;370;Réelle
04:00:00;1258;Réelle
04:00:00;1258;Réelle
03:30:00;1720;Réelle
03:30:00;1720;Réelle
03:00:00;1684;Réelle
03:00:00;1684;Réelle
02:30:00;2854;Réelle
02:30:00;2854;Réelle
02:00:00;1908;Réelle
02:00:00;1908;Réelle
01:30:00;1622;Réelle
01:30:00;1622;Réelle
01:00:00;766;Réelle
01:00:00;766;Réelle
00:30:00;384;Réelle
00:30:00;384;Réelle

20/03/2022;;
00:00:00;464;Réelle
23:30:00;546;Réelle
23:00:00;740;Réelle
22:30:00;1136;Réelle
22:00:00;962;Réelle
21:30:00;456;Réelle
21:00:00;590;Réelle
20:30:00;570;Réelle
20:00:00;1042;Réelle
19:30:00;1092;Réelle
19:00:00;1940;Réelle
18:30:00;574;Réelle
18:00:00;242;Réelle
17:30:00;358;Réelle
17:00:00;170;Réelle
16:30:00;182;Réelle
